package,0.0,0.0~0.8,0.8~0.85,0.85~0.9,0.9~0.91,0.91~0.92,0.92~0.93,0.93~0.94,0.94~0.95,0.95~0.96,0.96~0.97,0.97~0.98,0.98~0.99,0.99~1.0,1.0
soot,2,0,1,38,0,0,0,0,3,0,0,5,9,249,630
soot.asm,2,0,1,0,5,2,1,36,0,0,1,2,5,59,823
soot.baf,2,0,0,0,0,0,0,0,0,5,0,0,0,28,902
soot.baf.internal,2,0,0,5,0,0,0,0,0,0,0,0,0,0,930
soot.baf.toolkits.base,2,0,0,0,0,0,5,0,0,4,1,0,0,7,918
soot.coffi,2,0,0,0,0,0,0,0,0,0,0,0,9,17,909
soot.dava,2,0,0,0,0,0,0,0,0,0,0,0,0,13,922
soot.dava.internal.asg,2,0,0,0,0,0,0,0,0,0,0,5,0,6,924
soot.dava.internal.AST,2,0,0,0,0,0,0,5,0,0,0,0,0,0,930
soot.dava.internal.javaRep,2,0,0,0,5,0,0,0,0,0,0,0,0,0,930
soot.dava.internal.SET,2,0,0,0,0,5,0,0,0,0,0,0,5,1,924
soot.dava.toolkits.base.AST,2,0,5,0,0,0,0,0,0,0,0,0,0,0,930
soot.dava.toolkits.base.AST.analysis,2,0,5,0,0,0,0,0,0,0,0,0,0,0,930
soot.dava.toolkits.base.AST.interProcedural,2,0,0,0,0,0,0,0,0,0,0,0,5,0,930
soot.dava.toolkits.base.AST.structuredAnalysis,2,0,0,0,0,0,0,0,0,0,0,0,5,0,930
soot.dava.toolkits.base.AST.transformations,2,0,0,0,0,0,5,0,0,0,0,0,0,3,927
soot.dava.toolkits.base.AST.traversals,2,0,0,5,0,0,0,0,0,0,0,0,0,0,930
soot.dava.toolkits.base.DavaMonitor,2,0,0,0,0,0,0,0,0,0,0,0,5,0,930
soot.dava.toolkits.base.finders,2,0,0,0,0,0,5,0,0,0,0,0,0,6,924
soot.dava.toolkits.base.misc,2,0,0,0,0,0,5,0,0,0,0,2,3,2,923
soot.dava.toolkits.base.renamer,2,0,0,0,0,0,0,5,0,0,0,0,0,0,930
soot.dexpler,2,0,0,0,0,0,0,0,0,0,3,15,12,73,832
soot.dexpler.instructions,2,0,0,7,0,0,0,0,0,0,0,0,0,37,891
soot.dexpler.tags,2,0,0,0,0,0,0,0,0,0,0,0,0,0,935
soot.dexpler.typing,2,0,0,0,0,0,0,0,0,0,0,0,0,5,930
soot.grimp,2,5,0,0,0,0,0,0,0,0,0,0,0,6,924
soot.grimp.internal,2,0,0,5,0,0,0,0,0,0,0,0,0,0,930
soot.grimp.toolkits.base,2,0,0,0,0,0,0,5,4,1,0,0,0,1,924
soot.javaToJimple,2,0,0,0,0,0,0,0,0,0,0,0,0,29,906
soot.javaToJimple.jj,2,0,0,0,0,0,0,0,0,0,0,0,0,0,935
soot.javaToJimple.jj.ast,2,0,0,5,0,0,0,0,0,0,0,0,0,0,930
soot.javaToJimple.jj.types,2,0,0,0,0,0,0,0,0,5,0,0,0,0,930
soot.javaToJimple.toolkits,2,0,0,0,0,0,5,0,0,0,5,0,0,0,925
soot.jbco,2,0,0,5,0,0,0,0,0,0,4,3,2,15,906
soot.jbco.bafTransformations,2,0,0,4,1,0,0,0,0,0,0,0,0,28,902
soot.jbco.jimpleTransformations,2,0,0,0,12,1,0,0,2,6,10,10,3,29,862
soot.jbco.name,3,49,0,0,0,0,0,0,0,0,0,0,0,0,761
soot.jbco.util,2,0,0,0,0,5,0,0,0,0,5,5,0,0,920
soot.jimple,2,0,0,0,0,0,0,0,5,0,0,5,5,28,892
soot.jimple.internal,2,0,0,5,0,0,0,0,0,0,0,0,0,30,900
soot.jimple.paddle,2,0,0,0,0,0,0,5,0,0,0,0,0,0,930
soot.jimple.parser,2,0,5,0,0,0,0,0,0,0,0,0,4,3,923
soot.jimple.spark,2,0,0,1,0,0,0,0,0,4,1,0,6,0,923
soot.jimple.spark.builder,2,0,0,0,0,3,0,0,0,0,0,6,4,15,907
