release,0.0,0.0~0.1,0.1~0.2,0.2~0.3,0.3~0.4,0.4~0.5,0.5~0.6,0.6~0.7,0.7~0.8,0.8~0.9,0.9~1.0,1.0
soot,0,0,0,0,1,0,0,0,2,3,23,1
soot.asm,1,22,0,0,0,0,0,0,0,0,7,0
soot.baf,0,0,0,0,0,0,1,0,0,1,17,11
soot.baf.internal,0,0,0,0,0,0,0,0,0,1,12,17
soot.baf.toolkits.base,0,0,0,0,0,0,0,0,0,3,7,20
soot.coffi,0,0,0,0,0,0,0,0,0,0,21,9
soot.dava,0,0,1,0,0,0,1,1,1,1,7,18
soot.dava.internal.asg,1,3,0,0,0,0,0,0,1,0,5,20
soot.dava.internal.AST,1,3,0,0,0,0,1,0,1,0,5,19
soot.dava.internal.javaRep,1,3,0,0,0,0,0,0,3,0,6,17
soot.dava.internal.SET,1,3,0,0,0,0,0,0,0,0,8,18
soot.dava.toolkits.base.AST,1,3,0,0,0,0,0,0,0,1,3,22
soot.dava.toolkits.base.AST.analysis,1,12,0,0,0,0,0,0,0,1,4,12
soot.dava.toolkits.base.AST.interProcedural,1,14,0,0,0,0,0,0,0,0,2,13
soot.dava.toolkits.base.AST.structuredAnalysis,1,12,0,0,0,1,1,0,0,1,2,12
soot.dava.toolkits.base.AST.transformations,1,12,0,0,0,0,0,2,0,0,5,10
soot.dava.toolkits.base.AST.traversals,1,13,0,0,0,0,0,0,0,2,2,12
soot.dava.toolkits.base.DavaMonitor,1,3,0,0,0,0,0,0,0,1,2,23
soot.dava.toolkits.base.finders,1,3,0,0,0,0,0,0,0,0,9,17
soot.dava.toolkits.base.misc,1,3,0,0,0,0,0,0,0,0,9,17
soot.dava.toolkits.base.renamer,1,12,0,0,0,1,0,0,0,0,4,12
soot.dexpler,1,21,0,0,1,0,0,0,0,0,7,0
soot.dexpler.instructions,1,21,0,0,0,0,0,0,1,1,3,3
soot.dexpler.tags,1,21,0,0,0,0,0,0,0,0,0,8
